date, time, CPNUM, M(1;0), M(2;0), M(3;0), Copt, 
2019-03-28, 12:20:06, 14829, 6.55, 72.61, 1496.21, 0.00, 
2019-03-28, 12:21:21, 14363, 6.55, 69.10, 1664.87, 0.00, 
2019-03-28, 12:22:38, 13068, 6.53, 75.08, 1751.11, 0.00, 
2019-03-28, 12:23:54, 14040, 6.59, 70.95, 1339.07, 0.00, 
2019-03-28, 12:25:10, 12980, 6.59, 76.61, 1854.76, 0.00, 
2019-03-28, 12:26:26, 12964, 6.56, 71.19, 1335.39, 0.00, 
2019-03-28, 12:27:41, 13294, 6.72, 81.11, 4997.70, 0.00, 
2019-03-28, 12:28:56, 12846, 6.53, 69.38, 1273.74, 0.00, 
2019-03-28, 12:30:11, 14495, 6.55, 72.77, 1564.74, 0.00, 
2019-03-28, 12:31:27, 14041, 6.49, 69.60, 1310.96, 0.00, 
2019-03-28, 12:32:43, 12721, 6.54, 75.27, 1827.05, 0.00, 
2019-03-28, 12:33:58, 13403, 6.56, 72.37, 1455.24, 0.00, 
2019-03-28, 12:35:14, 13425, 6.55, 70.88, 1302.74, 0.00, 
2019-03-28, 12:36:29, 13883, 6.76, 78.50, 1691.97, 0.00, 
2019-03-28, 12:37:44, 13073, 6.57, 72.43, 1488.79, 0.00, 
2019-03-28, 12:39:00, 12721, 6.53, 72.19, 1453.18, 0.00, 
2019-03-28, 12:40:15, 53567, 25.15, 902.34, 41656.99, 0.11, 
2019-03-28, 12:41:31, 119887, 27.65, 1023.72, 45665.73, 0.39, 
2019-03-28, 12:42:47, 114861, 27.52, 1016.05, 45264.42, 0.38, 
2019-03-28, 12:44:04, 122703, 27.32, 1003.58, 44472.16, 0.39, 
2019-03-28, 12:45:20, 117221, 27.61, 1024.58, 45897.00, 0.39, 
2019-03-28, 12:46:37, 113771, 27.17, 998.92, 44527.46, 0.38, 
2019-03-28, 12:47:53, 122535, 27.22, 1004.41, 45024.15, 0.38, 
2019-03-28, 12:49:09, 111922, 27.14, 992.28, 43783.26, 0.37, 
2019-03-28, 12:50:25, 121071, 27.22, 1001.86, 44690.71, 0.38, 
2019-03-28, 12:51:41, 112522, 26.97, 987.41, 43726.25, 0.38, 
2019-03-28, 12:52:58, 113750, 27.07, 994.33, 45154.23, 0.37, 
2019-03-28, 12:54:14, 116174, 27.08, 994.71, 44188.09, 0.38, 
2019-03-28, 12:55:31, 118667, 27.05, 994.91, 44386.21, 0.37, 
2019-03-28, 12:56:48, 120909, 26.85, 980.73, 43364.58, 0.37, 
2019-03-28, 12:58:04, 119239, 26.94, 989.22, 44233.49, 0.38, 
2019-03-28, 12:59:20, 116203, 26.74, 972.32, 42780.15, 0.37, 
2019-03-28, 13:00:37, 120045, 26.71, 971.56, 42835.12, 0.37, 
2019-03-28, 13:01:54, 120172, 26.62, 963.29, 42251.55, 0.36, 
2019-03-28, 13:03:11, 122824, 26.59, 966.47, 42691.56, 0.37, 
2019-03-28, 13:04:28, 124603, 26.57, 964.74, 42501.18, 0.37, 
2019-03-28, 13:05:44, 114804, 26.57, 961.60, 42116.10, 0.37, 
2019-03-28, 13:07:01, 120271, 26.42, 955.28, 41913.23, 0.36, 
2019-03-28, 13:08:17, 129446, 26.42, 953.75, 41757.02, 0.37, 
2019-03-28, 13:09:34, 125643, 26.19, 940.88, 41078.86, 0.37, 
2019-03-28, 13:10:50, 122266, 26.43, 955.23, 41891.61, 0.37, 
2019-03-28, 13:12:07, 123024, 26.26, 944.04, 41125.54, 0.37, 
2019-03-28, 13:13:24, 128801, 26.00, 928.00, 40230.54, 0.36, 
2019-03-28, 13:14:39, 130174, 26.23, 942.69, 41150.43, 0.36, 
2019-03-28, 13:15:56, 121475, 26.14, 936.59, 40646.45, 0.37, 
2019-03-28, 13:17:13, 120971, 25.87, 925.49, 40248.69, 0.36, 
2019-03-28, 13:18:30, 123079, 26.10, 932.92, 40291.50, 0.36, 
2019-03-28, 13:19:47, 121365, 25.99, 927.00, 40040.54, 0.36, 
2019-03-28, 13:21:03, 128444, 25.94, 929.00, 40476.06, 0.37, 
2019-03-28, 13:22:19, 134727, 25.87, 922.09, 39876.20, 0.36, 
2019-03-28, 13:23:35, 119876, 25.97, 922.72, 39712.66, 0.36, 
2019-03-28, 13:24:52, 122327, 25.87, 920.06, 39701.22, 0.36, 
2019-03-28, 13:26:09, 120103, 25.73, 908.37, 38877.57, 0.36, 
2019-03-28, 13:27:29, 127483, 25.62, 904.41, 38857.57, 0.35, 
2019-03-28, 13:28:46, 121214, 25.51, 893.77, 37909.51, 0.35, 
2019-03-28, 13:30:05, 131916, 25.65, 907.16, 38985.37, 0.36, 
2019-03-28, 13:31:23, 121102, 25.50, 895.96, 38239.48, 0.36, 
2019-03-28, 13:32:40, 124639, 25.32, 887.18, 37864.95, 0.35, 
2019-03-28, 13:33:58, 129209, 25.32, 882.20, 37307.21, 0.35, 
2019-03-28, 13:35:18, 126085, 25.39, 888.95, 37834.33, 0.35, 
2019-03-28, 13:36:36, 117552, 25.37, 887.10, 37673.56, 0.35, 
2019-03-28, 13:37:58, 129176, 25.23, 881.35, 37438.07, 0.35, 
2019-03-28, 13:39:16, 123499, 25.23, 881.14, 37434.33, 0.35, 
2019-03-28, 13:40:35, 122403, 25.33, 885.64, 37652.99, 0.35, 
2019-03-28, 13:41:53, 127967, 25.07, 867.85, 36482.99, 0.35, 
2019-03-28, 13:43:12, 122552, 25.11, 870.28, 36722.48, 0.35, 
2019-03-28, 13:44:29, 130484, 25.15, 875.25, 37029.05, 0.35, 
