date, time, CPNUM, M(1;0), M(2;0), M(3;0), Copt, 
2019-03-28, 15:17:37, 139885, 22.79, 742.85, 29954.33, 0.34, 
2019-03-28, 15:18:54, 136142, 22.80, 738.33, 29415.56, 0.34, 
2019-03-28, 15:20:11, 143162, 22.60, 728.88, 28950.10, 0.33, 
2019-03-28, 15:21:27, 149581, 22.65, 732.21, 29174.55, 0.34, 
2019-03-28, 15:22:44, 138634, 22.61, 729.89, 29119.95, 0.33, 
2019-03-28, 15:24:02, 137904, 22.71, 734.94, 29335.41, 0.34, 
2019-03-28, 15:25:18, 147198, 22.49, 721.49, 28568.56, 0.33, 
2019-03-28, 15:26:35, 144139, 22.56, 726.12, 28819.94, 0.33, 
2019-03-28, 15:27:51, 144744, 22.60, 730.13, 29139.59, 0.34, 
2019-03-28, 15:29:09, 142151, 22.65, 731.82, 29113.96, 0.34, 
2019-03-28, 15:30:25, 137967, 22.60, 729.24, 29074.37, 0.34, 
2019-03-28, 15:31:41, 140178, 22.44, 718.06, 28318.19, 0.33, 
2019-03-28, 15:32:58, 134969, 22.49, 724.02, 28759.46, 0.34, 
2019-03-28, 15:34:16, 140879, 22.42, 720.68, 28633.27, 0.33, 
2019-03-28, 15:35:33, 139601, 22.34, 714.13, 28215.29, 0.33, 
2019-03-28, 15:36:49, 138357, 22.31, 712.38, 28104.00, 0.33, 
2019-03-28, 15:38:05, 136562, 22.21, 709.60, 28076.21, 0.33, 
2019-03-28, 15:39:21, 144493, 22.20, 707.06, 27830.32, 0.33, 
2019-03-28, 15:40:39, 146350, 22.36, 716.83, 28386.78, 0.34, 
2019-03-28, 15:41:55, 147218, 22.19, 707.22, 27950.74, 0.33, 
2019-03-28, 15:43:12, 142564, 22.08, 700.04, 27498.86, 0.33, 
2019-03-28, 15:44:29, 141629, 22.25, 711.41, 28180.58, 0.33, 
2019-03-28, 15:45:46, 142103, 22.23, 709.60, 27987.22, 0.33, 
2019-03-28, 15:47:02, 143547, 22.22, 707.42, 27840.34, 0.33, 
2019-03-28, 15:48:18, 140102, 22.20, 705.48, 27683.70, 0.33, 
2019-03-28, 15:49:35, 143238, 22.24, 709.42, 27984.21, 0.33, 
2019-03-28, 15:50:51, 148528, 22.20, 708.35, 27938.46, 0.33, 
2019-03-28, 15:52:08, 149736, 22.13, 704.94, 27868.43, 0.33, 
2019-03-28, 15:53:24, 148097, 22.15, 705.21, 27810.65, 0.33, 
2019-03-28, 15:54:40, 148907, 21.98, 695.85, 27288.56, 0.33, 
2019-03-28, 15:55:57, 153970, 22.06, 700.61, 27595.39, 0.33, 
2019-03-28, 15:57:13, 157789, 21.94, 692.51, 27060.56, 0.33, 
2019-03-28, 15:58:30, 143563, 22.02, 698.97, 27471.89, 0.33, 
2019-03-28, 15:59:47, 143473, 22.11, 701.23, 27473.89, 0.34, 
2019-03-28, 16:01:03, 145011, 22.01, 698.11, 27431.37, 0.34, 
2019-03-28, 16:02:19, 148285, 21.99, 693.55, 27075.17, 0.33, 
2019-03-28, 16:03:35, 144610, 21.95, 694.59, 27471.62, 0.34, 
2019-03-28, 16:04:51, 143352, 21.78, 684.77, 26726.75, 0.33, 
2019-03-28, 16:06:08, 144471, 21.74, 679.70, 26368.22, 0.33, 
2019-03-28, 16:07:24, 143725, 21.94, 693.95, 27241.44, 0.33, 
2019-03-28, 16:08:40, 141141, 21.84, 689.15, 26955.00, 0.34, 
2019-03-28, 16:09:57, 140781, 21.68, 683.11, 26809.60, 0.33, 
2019-03-28, 16:11:13, 147404, 21.98, 697.60, 27487.34, 0.34, 
2019-03-28, 16:12:30, 143459, 21.94, 694.80, 28154.76, 0.33, 
2019-03-28, 16:13:46, 152357, 21.74, 684.21, 26823.50, 0.33, 
2019-03-28, 16:15:03, 149207, 21.61, 677.11, 26351.21, 0.34, 
2019-03-28, 16:16:19, 151654, 21.51, 672.37, 26153.76, 0.33, 
2019-03-28, 16:17:35, 151836, 21.56, 675.60, 26338.62, 0.33, 
2019-03-28, 16:18:51, 165393, 21.57, 676.84, 26450.13, 0.33, 
2019-03-28, 16:20:07, 151242, 21.60, 674.77, 26169.51, 0.34, 
2019-03-28, 16:21:23, 160468, 21.57, 676.43, 26408.48, 0.34, 
2019-03-28, 16:22:39, 146605, 21.59, 676.31, 26378.62, 0.33, 
2019-03-28, 16:23:56, 149709, 21.63, 677.48, 26398.50, 0.33, 
2019-03-28, 16:25:13, 148727, 21.58, 674.64, 26215.98, 0.33, 
2019-03-28, 16:26:29, 152477, 21.63, 678.71, 26509.63, 0.33, 
2019-03-28, 16:27:46, 151698, 21.60, 677.23, 26409.84, 0.34, 
2019-03-28, 16:29:03, 151747, 21.50, 672.87, 26257.27, 0.34, 
2019-03-28, 16:30:19, 161365, 21.30, 661.72, 25689.54, 0.33, 
