date, time, CPNUM, M(1;0), M(2;0), M(3;0), Copt, 
2019-03-28, 19:20:15, 2200, 12.23, 246.05, 6974.23, 0.00, 
2019-03-28, 19:21:32, 2056, 12.48, 254.47, 7422.75, 0.00, 
2019-03-28, 19:22:50, 2213, 12.12, 244.90, 7214.62, 0.00, 
2019-03-28, 19:24:10, 2084, 13.31, 292.11, 9645.12, 0.00, 
2019-03-28, 19:25:27, 2376, 11.24, 201.84, 5051.95, 0.00, 
2019-03-28, 19:26:44, 1956, 13.03, 322.31, 92651.14, 0.00, 
2019-03-28, 19:28:01, 2118, 12.42, 269.57, 114643.58, 0.00, 
2019-03-28, 19:29:17, 1801, 12.40, 237.34, 5987.88, 0.00, 
2019-03-28, 19:30:35, 1874, 12.59, 262.59, 7474.87, 0.00, 
2019-03-28, 19:31:51, 2207, 12.89, 280.73, 63565.16, 0.00, 
2019-03-28, 19:33:09, 2022, 12.63, 258.87, 7979.10, 0.00, 
2019-03-28, 19:34:26, 1812, 12.95, 265.06, 7299.14, 0.00, 
2019-03-28, 19:35:43, 2108, 12.68, 246.64, 6363.29, 0.00, 
2019-03-28, 19:37:01, 1934, 13.00, 270.57, 7481.55, 0.00, 
2019-03-28, 19:38:23, 2123, 13.55, 329.66, 35236.33, 0.00, 
2019-03-28, 19:39:40, 50109, 24.14, 837.96, 35040.57, 0.10, 
2019-03-28, 19:40:59, 132179, 24.77, 888.70, 38722.67, 0.46, 
2019-03-28, 19:42:16, 125247, 24.84, 896.48, 39490.35, 0.45, 
2019-03-28, 19:43:35, 120299, 24.90, 910.00, 41225.65, 0.45, 
2019-03-28, 19:44:54, 131033, 24.84, 906.09, 40920.09, 0.44, 
2019-03-28, 19:46:14, 123718, 25.03, 929.84, 43058.45, 0.45, 
2019-03-28, 19:47:34, 122826, 24.94, 921.41, 42278.59, 0.44, 
2019-03-28, 19:48:54, 134928, 25.04, 928.56, 42849.86, 0.44, 
2019-03-28, 19:50:13, 124500, 24.90, 927.34, 43778.87, 0.43, 
2019-03-28, 19:51:34, 121991, 25.08, 934.35, 43845.36, 0.43, 
2019-03-28, 19:52:56, 125491, 25.09, 941.46, 44218.49, 0.44, 
2019-03-28, 19:54:18, 126044, 25.22, 965.78, 115865.70, 0.43, 
2019-03-28, 19:55:40, 117179, 25.10, 945.87, 45148.79, 0.43, 
2019-03-28, 19:56:59, 124076, 24.97, 934.19, 43784.65, 0.42, 
2019-03-28, 19:58:18, 126156, 25.12, 941.20, 43980.54, 0.42, 
2019-03-28, 19:59:37, 124002, 25.17, 942.74, 43877.14, 0.42, 
2019-03-28, 20:00:56, 126772, 24.98, 935.70, 43897.99, 0.42, 
2019-03-28, 20:02:16, 136324, 24.99, 936.05, 43679.47, 0.42, 
2019-03-28, 20:03:35, 124264, 24.88, 929.08, 43230.63, 0.41, 
2019-03-28, 20:04:57, 127784, 24.93, 935.25, 44052.19, 0.42, 
2019-03-28, 20:06:15, 112500, 24.98, 933.11, 43348.90, 0.41, 
2019-03-28, 20:07:36, 128348, 24.99, 934.07, 43400.09, 0.41, 
2019-03-28, 20:08:57, 117656, 25.01, 937.78, 43809.51, 0.42, 
2019-03-28, 20:10:16, 124194, 24.94, 930.34, 43054.98, 0.41, 
2019-03-28, 20:11:34, 125480, 24.89, 931.00, 43480.80, 0.41, 
2019-03-28, 20:12:52, 120994, 24.91, 927.93, 43048.15, 0.41, 
2019-03-28, 20:14:13, 122748, 24.79, 919.36, 42340.61, 0.41, 
2019-03-28, 20:15:30, 127545, 24.90, 925.33, 42634.45, 0.40, 
2019-03-28, 20:16:48, 121320, 24.74, 917.36, 42405.12, 0.40, 
2019-03-28, 20:18:06, 128716, 24.67, 913.58, 42117.38, 0.41, 
2019-03-28, 20:19:25, 116448, 24.76, 915.43, 41885.37, 0.40, 
2019-03-28, 20:20:43, 133668, 24.77, 920.35, 42482.46, 0.41, 
2019-03-28, 20:22:01, 126469, 24.85, 922.13, 42317.89, 0.41, 
2019-03-28, 20:23:20, 130532, 24.66, 911.97, 41952.15, 0.41, 
2019-03-28, 20:24:37, 123497, 24.84, 931.76, 43596.93, 0.41, 
2019-03-28, 20:25:55, 130328, 24.68, 907.55, 41266.95, 0.40, 
2019-03-28, 20:27:14, 129353, 24.60, 907.33, 41536.04, 0.40, 
2019-03-28, 20:28:35, 122477, 24.46, 898.61, 40950.04, 0.40, 
2019-03-28, 20:29:54, 118443, 24.76, 916.92, 42152.11, 0.40, 
2019-03-28, 20:31:13, 127090, 24.44, 897.28, 40854.36, 0.39, 
2019-03-28, 20:32:33, 123097, 24.52, 900.54, 40883.49, 0.40, 
2019-03-28, 20:33:52, 118763, 24.65, 905.09, 41064.64, 0.40, 
2019-03-28, 20:35:11, 124689, 24.57, 904.75, 41375.83, 0.40, 
