 , ,,,,
QICPIC (QP0002) & LIXELL, 5.00 63.0 mm - M4 (2 ... 682 �m),,,,
Torraca_TC2,2019-02-21, 16:39:08,592,,
,,,,,
Aspect ratio (AR) vs. size ,,,,,
xm/�m,aspect ratio,,,,
1.41, ,,,,
2.21, ,,,,
2.70,0.71 ,,,,
3.31,0.71 ,,,,
4.04,0.45 ,,,,
4.94,0.45 ,,,,
6.04,0.60 ,,,,
7.39,0.61 ,,,,
9.04,0.60 ,,,,
11.05,0.64 ,,,,
13.51,0.65 ,,,,
16.52,0.66 ,,,,
20.20,0.65 ,,,,
24.70,0.61 ,,,,
30.20,0.61 ,,,,
36.93,0.59 ,,,,
45.16,0.60 ,,,,
55.22,0.58 ,,,,
67.52,0.56 ,,,,
82.56,0.52 ,,,,
100.95,0.43 ,,,,
123.43,0.40 ,,,,
150.93,0.23 ,,,,
184.54, ,,,,
225.65, ,,,,
275.91,0.34 ,,,,
337.37,0.28 ,,,,
412.52, ,,,,
504.41, ,,,,
616.76, ,,,,
2183.03, ,,,,
 ,,,,,
,,,,,
,,,,,
AR cumulative distribution,Mean AR density,,,,
aspect ratio,cumulative,,mean aspect ratio,distribution,
distribution,distribution,,,,
aO,Q0 / %,,,am,q0
10,  0.00,,5,0,
20,  0.00,,15,0,
30,  0.00,,25,0,
40,  0.00,,35,0,
50,  0.00,,45,0,
60,  0.00,,55,0,
70,  0.00,,65,0,
80,  0.00,,75,0,
90,  0.00,,85,0,
100,  0.00,,95,4,
110,  0.00,,105,0,
120,  0.00,,115,0,
130,  0.01,,125,4,
140,  0.01,,135,0,
150,  0.01,,145,0,
160,  0.01,,155,0,
170,  0.01,,165,4,
180,  0.01,,175,0,
190,  0.01,,185,4,
200,  0.07,,195,59,
210,  0.07,,205,0,
220,  0.09,,215,15,
230,  0.10,,225,7,
240,  0.11,,235,11,
250,  0.57,,245,459,
260,  0.57,,255,4,
270,  0.58,,265,15,
280,  0.62,,275,37,
290,  0.66,,285,41,
300,  0.70,,295,37,
310,  0.73,,305,33,
320,  3.69,,315,2961,
330,  3.79,,325,93,
340,  3.85,,335,63,
350,  3.91,,345,59,
360,  3.96,,355,52,
370,  4.06,,365,104,
380,  4.46,,375,400,
390,  4.56,,385,93,
400,  4.84,,395,285,
410,  4.98,,405,141,
420,  5.17,,415,189,
430,  5.39,,425,215,
440,  5.58,,435,200,
450, 22.33,,445,16747,
460, 22.57,,455,233,
470, 22.88,,465,315,
480, 23.24,,475,359,
490, 23.89,,485,655,
500, 24.61,,495,714,
510, 25.11,,505,503,
520, 25.74,,515,625,
530, 26.22,,525,485,
540, 26.73,,535,503,
550, 27.24,,545,518,
560, 33.64,,555,6392,
570, 34.13,,565,492,
580, 34.48,,575,348,
590, 34.98,,585,500,
600, 35.53,,595,555,
610, 37.01,,605,1480,
620, 37.34,,615,326,
630, 38.03,,625,688,
640, 39.89,,635,1869,
650, 40.18,,645,281,
660, 40.77,,655,596,
670, 41.54,,665,766,
680, 43.53,,675,1995,
